name,Brand_name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
Maruti Alto LX BSIII,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
Hyundai Creta 1.6 VTVT S,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Chevrolet Sail 1.2 Base,Maruti,2007,60000,70000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,Hyundai,2012,600000,100000,Diesel,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,Datsun,2017,250000,46000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,Maruti,2007,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Datsun RediGO T Option,Hyundai,2015,850000,25000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,Chevrolet,2015,260000,35000,Petrol,Individual,Manual,First Owner
Maruti Alto LX BSIII,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Toyota,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Tata Indigo Grand Petrol,Maruti,2015,585000,24000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 VTVT S,Hyundai,2019,1195000,5000,Diesel,Dealer,Manual,First Owner
Maruti Celerio Green VXI,Honda,2014,450000,141000,Diesel,Individual,Manual,Second Owner
Chevrolet Sail 1.2 Base,Tata,2014,240000,60000,Petrol,Individual,Manual,Second Owner
Tata Indigo Grand Petrol,Tata,2014,250000,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,Maruti,2007,135000,50000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VXi Plus,Hyundai,2016,550000,25000,Petrol,Individual,Manual,First Owner
Hyundai Venue SX Opt Diesel,Maruti,2017,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,2013,390000,33000,Diesel,Individual,Manual,Second Owner
Jaguar XF 2.2 Litre Luxury,Jaguar,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class 220 CDI AT,Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner
Maruti Vitara Brezza ZDi Plus AMT,Maruti,2018,975000,4500,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TDI,Audi,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner
Honda City V MT,Honda,2018,930000,14500,Petrol,Dealer,Manual,First Owner
Tata Tigor 1.2 Revotron XT,Tata,2018,525000,15000,Petrol,Individual,Manual,First Owner
Audi A6 2.0 TDI  Design Edition,Audi,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner
Skoda Superb Ambition 2.0 TDI CR AT,Skoda,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner
Toyota Corolla Altis G AT,Toyota,2016,900000,50000,Petrol,Individual,Automatic,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,1300000,80000,Diesel,Individual,Manual,First Owner
Jeep Compass 1.4 Sport Plus BSIV,Jeep,2019,1400000,10000,Petrol,Individual,Manual,First Owner
Mercedes-Benz E-Class E 200 CGI Elegance,Mercedes-Benz,2010,850000,119000,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,Hyundai,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,BMW,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,Audi,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
